MDTU,min_min,min_max,max_min,max_max5
482,-0.405839,-0.0175669,0.0734667,0.314886
483,-0.388795,-0.0192413,0.0713444,0.303448
484,-0.42396,-0.0196259,0.073072,0.318168
485,-0.401371,-0.0208232,0.0751342,0.31409
486,-0.429702,-0.0126041,0.0704739,0.303179
487,-0.410834,-0.0245583,0.0589629,0.316123
488,-0.412387,-0.0117541,0.053829,0.309347
489,-0.412387,-0.0117541,0.053829,0.309347
490,-0.412387,-0.0117541,0.053829,0.309347
491,-0.42052,-0.012973,0.0763786,0.307498
492,-0.42052,-0.012973,0.0763786,0.307498
493,-0.407618,-0.0205593,0.0787295,0.322276
494,-0.388177,-0.0269541,0.0788149,0.302125
495,-0.42863,-0.0185759,0.0671203,0.313943
496,-0.400868,-0.0181027,0.0786986,0.304998
497,-0.389376,-0.0241882,0.0708236,0.309125
498,-0.412798,-0.0219245,0.0752613,0.302617
499,-0.395143,-0.0200669,0.0651731,0.311159
500,-0.399388,-0.0151724,0.0763552,0.316486
501,-0.399388,-0.0151724,0.0763552,0.316486
502,-0.415507,-0.028228,0.0724692,0.3006
503,-0.394413,-0.0108377,0.0679052,0.325107
504,-0.399506,-0.0261071,0.0660589,0.313484
505,-0.399506,-0.0261071,0.0660589,0.313484
506,-0.407403,-0.0163075,0.0654677,0.307037
507,-0.397939,-0.0325182,0.0767185,0.314325
508,-0.398327,-0.0349102,0.0687556,0.308959
509,-0.398327,-0.0349102,0.0687556,0.308959
510,-0.393668,-0.0382405,0.0669559,0.306214
511,-0.40714,-0.0259693,0.0742845,0.294188
512,-0.409013,-0.0229617,0.0809179,0.303867
513,-0.409013,-0.0229617,0.0809179,0.303867
514,-0.384009,-0.0422218,0.0814491,0.305067
515,-0.414438,-0.0374103,0.0745204,0.301717
516,-0.394694,-0.041214,0.0688738,0.294323
517,-0.392434,-0.0383132,0.077344,0.295964
518,-0.421602,-0.0361706,0.0734063,0.289143
519,-0.410522,-0.0174423,0.0701417,0.30241
520,-0.384816,-0.042512,0.0639261,0.28933
521,-0.417842,-0.0313941,0.0761031,0.297137
522,-0.401055,-0.031272,0.0757314,0.306739
523,-0.401055,-0.031272,0.0757314,0.306739
524,-0.401055,-0.031272,0.0757314,0.306739
525,-0.407388,-0.0368472,0.0649633,0.293794
526,-0.449178,-0.0316845,0.0700476,0.314647
527,-0.401438,-0.0272189,0.0702408,0.306257
528,-0.417987,-0.0348467,0.072649,0.315211
529,-0.431012,-0.0292606,0.068244,0.308982
530,-0.423396,-0.0303904,0.0723324,0.313079
531,-0.426251,-0.0289494,0.0632365,0.306865
532,-0.410297,-0.0234535,0.0713741,0.303762
533,-0.419,-0.0207307,0.0511431,0.305147
534,-0.386961,-0.0193734,0.0668167,0.29374
535,-0.386961,-0.0193734,0.0668167,0.29374
536,-0.386961,-0.0193734,0.0668167,0.29374
